,profile_id,starts_at,ends_at,title,description,company,location
0,0,2021-04-01,,Software Developer,,WebEngage,
1,0,2020-06-01,2021-04-30,Software Engineer,"•Design and developed various end to enduse cases as per customer requirementwith proper module, integration and unittests using Spring and Hibernate Framework using Agile Methodology.• Involved in large Database migration forSpring Application from SQL Server toOracle database.",Zycus,"Mumbai, Maharashtra, India"
2,0,2019-09-01,2020-05-31,Associate Software Engineer,•Developed various software modules andRestful Web services using Spring and Hibernate Framework.•Designing and development of Rest APIAutomation framework from scratch fortesting and analysis for 100+ API's.•Standalone Utility application developedto support core product features.,Zycus,"Mumbai, Maharashtra, India"
3,0,2019-06-01,2019-08-31,Trainee Software Engineer,"•Involved in maintaining, enhancing and bugfixing of modules across product.•Successfully completed various trainings and development programs on Core and Advanced Java, Spring and Spring Boot,Hibernate,JSP, MySQL.",Zycus,"Mumbai, Maharashtra, India"
4,0,2019-02-01,2019-03-31,Team Leader and Winner,"Developed a web security standalone application to detect web threats and generate a simple user friendly report dashboard for stakeholders for Ministry of External Affairs,Government  of India.",Smart India Hackathon 2019,India
5,1,2019-07-01,,Software Developer,,Nomura,India
6,1,2018-06-01,2018-06-01,Data Science Intern,"At TaskLance Technologies, I worked as a Data Science Intern, employing technologies such as Python [BeautifulSoup, Selenium], Apache Spark [PySpark] and QlikView on a Data Analytics and Visualization project.  This project used python libraries and map-reduce functions to extract, clean and utilize data from the log files created on the TaskLance server.",TaskLance,"Mumbai Area, India"
7,1,2018-05-01,2018-06-01,Full Stack Developer,"In the summer of 2018, I worked with Zcyphher, a branding agency, as a Full-Stack Developer, on both outsourced as well as in-house projects. I was involved in revamping the website for WedRed, a wedding-filming agency from scratch. I also worked on a staff-attendance manager. Through the course of my internship, I worked with technologies such as Javascript, jQuery and PHP.",Zcyphher,"Mumbai Area, India"
8,1,2017-12-01,2018-01-01,Frontend Web Developer,"I interned with Physiz, an ag-tech company that works towards creating a smart-farming ecosystem. As a frontend developer, I worked primarily on a WebAPP named ""FarmFeed"", that allows its users to monitor and control their farms remotely. FarmFeed is developed using React, a facebook powered javascript library. Throughout the course of my internship, I was also involved in hands-on ideation and research for front-end functionality.",Physiz,"Mumbai Area, India"
9,2,2020-10-01,,Software Engineer,,CODE B,"Mumbai, Maharashtra, India"
10,3,2021-07-01,,Application Developer,,Thoughtworks,"Mumbai, Maharashtra, India"
11,3,2019-07-01,2021-07-31,Software Developer,,"Tavisca, a cxLoyalty Technology Platform (Division of JP Morgan Chase & Co.)","Pune, Maharashtra, India"
12,3,2018-01-01,2018-04-30,Application Development Intern,,Intellinects Ventures Pvt. Ltd.,"Mumbai, Maharashtra, India"
13,3,2017-10-01,2018-01-31,Web Development Intern,,Revolo Info Tech,"Mumbai, Maharashtra, India"
14,4,2020-12-01,,Software Developer,,Breathbit,"Yokohama, Kanagawa, Japan"
15,4,2019-01-01,2019-02-28,Intern,,Tata Consultancy Services,"Kolkata, West Bengal, India"
16,4,2018-09-01,2019-02-28,Campus Ambassador,,"Entrepreneurship Cell, IIT Kharagpur",Bengaluru
17,5,2020-01-01,,Software Engineer,,VHS Logitech,
18,5,2019-07-01,2019-12-31,Intern,,VHS Logitech,Bangalore
19,6,2019-08-01,,Associate - Projects (S1-Engineer Full Stack),,Cognizant,"Bengaluru,India"
20,6,2018-06-01,2018-07-31,Software Development Intern,"Learnt and implemented image processing and point cloud processing concepts , to be used for 3D monitoring of buildings and heritages.","Indian Institute of Remote Sensing (IIRS), Indian Space Research Organization (ISRO)",Dehradun
21,6,2017-12-01,2018-01-31,Web developer,"A 6 week industrial training during which i learned HTML 5, CSS, bootstrap, PHP, JavaScript, Jquery, MySQL and made an Online Shopping site using these.",SLR Infotech Pvt. Ltd,Chandigarh
22,6,2017-06-01,2017-07-31,Software Developer,A 6 week industrial training during which learned to develop standalone applications in Core JAVA and made a project on Stock Management and Billing.,GTB institute,"Jalandhar, Punjab, India"
23,7,2019-10-01,,SDE,,Money View,"Bengaluru Area, India"
24,7,2017-10-01,2019-09-30,Senior Software Engineer,,NIIT Technologies,"Bengaluru, Karnataka, India"
25,7,2016-07-01,2017-09-30,Software Engineer,Worked as full stack developer for British Airways,NIIT Technologies,Greater Noida
26,7,2016-01-01,2016-05-31,Backend Intern,Worked as back end development intern in making REST micro services,Qorql,Noida
27,8,2019-04-01,,Full Stack Engineer,Research and Analytics Department,WNS Global Services,Banglore
28,8,2016-08-01,2019-03-31,Software Engineer,,Maple CRM,banglore
29,9,2019-11-01,,Senior Software Engineer,,Accelya Group,"Pune Area, India"
30,9,2019-02-01,2019-11-30,Senior Software Engineer,,Zensar Technologies,"Pune, Maharashtra, India"
31,9,2018-07-01,2019-02-28,Sr Front End Developer,,Intouch Solutions,"Mumbai Area, India"
32,9,2012-07-01,2018-06-30,UI Developer,,Vishwakarma Institute of Information Technology,"Pune, Maharashtra, India"
33,10,2018-01-01,,Web Application Developer,,freelance,India
34,10,2012-01-01,2014-02-28,Software Developer,,IBDTD,"Surat Area, India"
35,11,2019-07-01,,Software Engineer,,Amdocs,"Pune, Maharashtra"
36,12,2020-03-01,2020-05-31,Associate Product Manager,,Collegedunia,"Gurgaon, Haryana"
37,12,2019-06-01,2020-03-31,Business Technology Analyst,"Developed business reporting and data warehousing solutions for a US based pharmaceutical firm. This included developing end-to-end ETL process with data-level knowledge using SAS Programming, Qlik Sense, SQL and MS-Excel.",ZS,"Gurgaon, Haryana"
38,12,2018-06-01,2018-07-31,Intern,"Became acquainted with the contemporary Advance Distribution Management System (ADMS) technology along with conventional SCADA, Distribution Management System (DMS) and Outage Management System (OMS). Got the opportunity to learn about possible practical causes of power outages in a power station.",Tata Power-DDL,"New Delhi Area, India"
39,12,2017-06-01,2017-07-31,Intern,"Underwent training in various units of DMRC’s ED/Electrical-II department namely Electrical and Mechanical systems of underground stations, Electric Traction, Environment Control Room (ECS) and Train Ventilation System (TVS), Overhead Equipment (OHE) and Power System Installations (PSI).Visited various under construction stations of present DMRC’s Pink Line to get a firsthand experience of site work.",Delhi Metro Rail Corporation Ltd,"New Delhi Area, India"
40,12,2016-12-01,2016-12-31,Intern,"Learnt about various concepts involved in embedded product Design like working and design of microcontroller systems, concepts like memory management, JTAG, Clocks, Timer, Comparator, Communication protocols, ADC working and implementation. I also obtained practical experience on PCB designing and Fabrication using EagleCAD for schematic and board file design and Toner transfer method for fabrication",Texas Instruments Centre for Embedded Product Design,"New Delhi Area, India"
41,13,2019-06-01,,Consultant Producer,"• Produced videos for this content studio for mammoth corporate houses like RPG, Bombay Shirt Company x JSW, RPG x DDB Mudra, Piramal, Oberoi Hotels & humble enterprises like SarvaPooja, KitchenTikka & Wedeo• Executed Projects End-to-end: Conceptualised Ideas based on client briefs, Hired Freelancers(Writers, DOPs etc) on a per-project basis, Coordinated with vendors for equipment, Managed & ensured successful completion of the shoot, Did additional cinematography, fully post-produced the projects.",StudioLIV,"Mumbai, Maharashtra, India"
42,13,2021-05-01,2021-06-30,Consultant Creative Producer,"• Was responsible for the production of 5 short films on COVID awareness which involved getting the DOP onboard, hiring the camera and lighting equipment, managing all other logistics of the shoot as well as giving creative inputs on the script and performance by the actor.• Was responsible for the full post-production, which involved editing, minimal motion graphics, sound mixing and colour grading.",BOOM FactCheck,"Mumbai, Maharashtra, India"
43,13,2020-08-01,2020-10-31,Consultant Manager - Production,"• Was a Producer for PING Network for a project which consisted of remotely producing a batch of 36 insightful & engaging explainer videos for Emeritus Insights, an Edutech Platform.• These videos were fully 2D animated, produced remotely and in a strict timeline of under 3 months.",PING Network,"Mumbai, Maharashtra, India"
44,13,2018-07-01,2019-01-31,Assistant Producer,"• Oversaw end-to-end workflow of shows under the branded content wing across the network (ET Now, Mirror Now & TN)• Ideated on topics, wrote concept notes, wrote the show flow & headlines, fixed and suggested guests and oversaw post-production up until the final broadcast• Was Responsible for both content and TV Production",Times Network,"Mumbai Area, India"
45,13,2017-08-01,2017-10-31,Production Intern,,Times Network,
46,13,2017-06-01,2017-06-30,Sales And Marketing Intern,,Nordic Kandie,"Mumbai, Maharashtra, India"
47,13,2016-08-01,2016-10-31,Intern,,Fitternity Health eSolution Private Limited,"Mumbai Area, India"
48,14,2020-08-01,,Graduate Student Instructor,Working as a Teaching Assistant for Undergraduate Math CoursesFall 2020: Calculus I (Math 115),University of Michigan,
49,14,2020-03-01,2020-08-31,Member,"Women in AI (WAI) is a nonprofit do-tank working towards increasing female representation and participation in AI. The community encourages active collaboration via education, research, events and blogging.",Women in AI,
50,14,2019-12-01,2020-08-31,Member,"WiMLDS is an international organization which works towards supporting women and gender minorities who are practicing, studying or are interested in the fields of machine learning and data science. The Delhi Chapter organizes informal meetups and talks for discussing ongoing research in related fields.",(WiMLDS) Women in Machine Learning & Data Science,"New Delhi Area, India"
51,14,2019-12-01,2020-08-31,Member,"Women Who Code is a global non-profit organization and the world’s largest and most active community dedicated to inspiring women to excel in technology careers. It includes opportunities for indulging in technical events, social meetups and training.",Women Who Code,"New Delhi Area, India"
52,14,2019-09-01,2020-08-31,Member,Elpha is the most powerful network for women in tech around the world. Platform for engaging technology driven people in discussions for personal and professional development.,Elpha,
