,profile_id,starts_at,ends_at,field_of_study,degree_name,school,description
0,0,2015-01-01,2019-12-31,Computer Engineering,Bachelor of Engineering,Thakur College Of Engineering and Technology,
1,0,,,,,St Willibroads International School,
2,1,2015-01-01,2019-01-01,B.Tech Computer Science,Bachelor of Technology - BTech,"Mukesh Patel School of Technology, Management and Engineering(NMIMS MPSTME)","Worked for MUNSOC (Model United Nations Society) as a full-time creative executive, working on creative projects for the society's benefit."
3,1,2013-01-01,2015-01-01,Science,ISC,"Bombay Scottish School, Mahim",
4,1,2001-01-01,2013-01-01,Science,ICSE,"Bombay Scottish School,Mahim",
5,2,2017-01-01,2020-12-31,Mechanical Engineering,Bachelor of Engineering - BE,Mumbai University Mumbai,
6,3,2015-01-01,2019-12-31,Computer Engineering,Bachelor of Engineering,Thadomal Shahani Engineering College,
7,3,2013-01-01,2015-12-31,Computer Science,HSC,"The Royal Higher Education Societys College of Arts Science and Commerce,Thane",
8,3,2000-01-01,2013-12-31,,SSC,"Shantinagar High School, Mira Road",
9,4,2016-01-01,2020-12-31,Information Technology,BTech - Bachelor of Technology,"JAIN UNIVERSITY, BANGALORE",
10,5,2015-01-01,2019-12-31,Mechanical Engineering,Bachelor of Technology,Siksha 'O' Anusandhan University,"The 1st thing you can learn in ITER is how to apply your knowledge in practice. ITER gives lot opportunities to their students to implement what they learnt in class. The courses are designed as such that you get little bit knowledge of industry also, here you can learnt how to operate industry oriented machinery. Here we also educate children's nearby villages, which is really awesome, to interact with such a energetic enthusiast who are wants to learn and grow.If I want to summarise how it feels to be an ITERian leaning with enjoyment"
11,5,2014-01-01,2015-12-31,8.2,Science,"Kendriya Vidyalaya MIRC Ahmednagar, Maharashtra","I had completed my 12th from kV MIRC Ahmednagar. It was a great experience to a part of a Kendriya Vidyalaya Sangathan. Here education system is focused on over all development of a student and you get an opportunity to meet different types of students form different background, from different states. Faculty members are also giving their 100% to know a student it's fullest potential. If I have to say in one line how I feel to be a part of Kendriya Vidyalaya is awesome"
12,6,2015-01-01,2019-12-31,,Bachelor of Technology - BTech,NIT Jalandhar,
13,6,2014-01-01,2015-12-31,,10+2,Shiwalik Model Senior Secondary School,
14,7,2012-01-01,2016-12-31,Computer Engineering,Bachelor of Engineering (B.E.),Thapar Institute of Engineering and Technology,
15,7,2010-01-01,2012-12-31,,Intermediate,Ascent Classes,
16,7,2003-01-01,2008-12-31,,10th,Akshara School,
17,8,2012-01-01,2016-12-31,computer science and engineering,Engineer’s Degree,Guru Ghasidas University,
18,8,,,"Maths,Science,Social Science,English,Hindi",Matriculation,Jawahar Navodaya Vidyalaya Barwani(Indore) mp,
19,9,2011-01-01,2013-12-31,Information Technology,Master's degree,Sinhgad College of Engineering,
20,9,2004-01-01,2008-12-31,Computer Science,Bachelor's degree,"S.V.M.P.College of Engineering, Malegaon bk., Tal. Baramati, Dist Pune 413115",
21,10,2010-01-01,2012-12-31,Computer Science,Master's degree,T.N.RAO INSTITUTE OF MANAGEMENT RESEARCH & TECHNOLOGY & B.ED.COLLEGE-RAJKOT,
22,11,2015-01-01,2019-12-31,Software Engineering,Bachelor of Technology,Delhi Technological University (Formerly DCE),Bachelor of Technology majoring in Software Engineering.
23,12,2015-01-01,2019-12-31,Electrical Engineering,Bachelor of Technology - BTech,Delhi College of Engineering,
24,12,2001-01-01,2015-12-31,PCM,High School,N.C. Jindal Public School,
25,13,2019-01-01,2020-12-31,Cinematography and Film/Video Production,"Film, Television & Digital Media Production (PGDip)",St. Xavier's College,
26,13,2015-01-01,2018-12-31,Marketing,Bachelor of Business Administration (B.B.A.),Narsee Monjee Institute of Management Studies,
27,13,2013-01-01,2015-12-31,78%,ISC,"St. Joseph's Academy, Dehradun",
28,13,2005-01-01,2013-12-31,82%,ICSE,"St. Joseph's Academy, Dehradun",
29,14,2020-01-01,2025-12-31,Applied Mathematics,Doctor of Philosophy - PhD,University of Michigan,Ph.D. in Applied and Interdisciplinary Mathematics
30,14,2016-01-01,2020-12-31,Mathematics and Computing Engineerin,Bachelor of Technology,Delhi Technological University (Formerly DCE),
31,14,2015-01-01,2016-12-31,"Science, Entrepreneurship",Senior secondary school,"Jayshree Periwal High School, Jaipur",
32,15,2015-01-01,2019-12-31,Electronics and Communications Engineering,Bachelor of Technology,St. Francis Institute Of Technology,
33,15,2013-01-01,2015-12-31,Electronics,HSC,Shri Tikamdas Purshottam Bhatia College of Science,
34,15,2003-01-01,2013-12-31,,SSC,Mother Teresa School,
35,16,,,,,,
36,17,2019-01-01,2022-12-31,Computer Science,Bachelor of Science - BS,Holon Institute of Technology,
37,17,2016-01-01,2017-12-31,Computer Science,Practical Software Engineer,"Gymnasia Realit, Rishon LeZion","Practical software engineer student (י""ג) in computer science at Gymnasia Realit, Rishon LeZion."
38,18,2018-01-01,2022-12-31,"Electrical, Electronics and Communications Engineering",B.Tech,Dr. Babasaheb Ambedkar Technological University,
39,18,2016-01-01,2018-12-31,Electronics,H. S. C,"Sharda Vidyaniketan Junior College, Akola -Maharashtra",
40,18,2014-01-01,2016-12-31,,,Jubilee English High school Akola,
41,19,2019-01-01,2023-12-31,Electronics and Communications Engineering,B.TECH,ROORKEE INSTITUTE OF TECHNOLOGY,
42,20,2017-01-01,2021-12-31,Electrical and Electronics Engineering,Bachelor of Technology - BTech,National Institute of Technology Calicut,
43,20,2016-01-01,2017-12-31,Mathematics and Computer Science,High Secondary Certificate,Kulapati Munshi Bhavan’s Vidya Mandir,
44,20,2014-01-01,2015-12-31,CBSE General,Secondary School Certificate,Kulapati Munshi Bhavan’s Vidya Mandir,
45,21,2020-01-01,2022-12-31,Business Analytics and Marketing,Master of Business Administration - MBA,Presidency University Bangalore,
46,21,2015-01-01,2019-12-31,Computer Science,BE - Bachelor of Engineering,Cambridge Institute of Technology,
47,21,2013-01-01,2015-12-31,,PCMB,St Joseph's Indian Composite PU college,
48,22,2016-01-01,2020-12-31,science mathematique et inforamatique,licence fondamentale,Université Mohammed V de Rabat,
49,22,2020-01-01,2022-12-31,intelligent processing systems,Master's degree,Université Mohammed V de Rabat,
50,23,2021-01-01,2024-12-31,Computer Engineering,Fe,"Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",
51,23,2018-01-01,2020-12-31,Computer Science,HSC,Loyola High School & Junior College Pune,
52,23,2008-01-01,2018-12-31,89%,SSC,Loyola High School & Junior College Pune,
53,24,,,Information Systems,Bachelor of Science,Brigham Young University,
54,24,,,"Management Information Systems, General",Master of Information System Management (MISM),Brigham Young University,"First Place, INTEX II (web consulting competition)Second Place, BYU Mobile App CompetitionORCA grant recipient (for research in mobile development)"
55,25,2017-01-01,2020-12-31,Information Technology,Software Development,Tshwane University of Technology,"Good candidate to work with people ,always ready to learn new things , good at critical thinking, able to work with other colleague"
56,25,2010-01-01,2016-12-31,12,National  Certificate,Azwifarwi secondary  School,
57,26,2019-01-01,2022-12-31,Computer Science,Bachelor of Applied Science - BASc,CODE University of Applied Sciences,
58,26,2017-01-01,2019-12-31,Computer Science,Bachelor of Engineering - BE,Poznan University of Technology,
59,27,2011-01-01,2015-12-31,,Bachelor of Arts - BA,Saint Louis University,
60,27,2021-01-01,2021-12-31,,Software Engineering Immersive,General Assembly,
61,27,2021-01-01,2021-12-31,,Certificate,Lindenwood University,
62,28,2005-01-01,2010-12-31,,Bachelor of Engineering (B.E.),Yarmouk University,
63,29,2020-01-01,2024-12-31,Computer Science,Bachelor of Technology - BTech,Shri G S Institute of Technology & Science,
64,29,2010-01-01,2018-12-31,physics chemistry maths,12th,Kendriya vidyalaya,
65,30,2016-01-01,2020-12-31,Mechanical Engineering,Bachelor of Technology - BTech,"ADITYA INSTITUTE OF TECHNOLOGY & MANAGEMENT, K.Kothuru, Tekkali - 532201, Srikakulam District, A.P",
66,30,2014-01-01,2016-12-31,M.P.C,Intermediate,"Sasi college, velivennu",
67,30,2005-01-01,2014-12-31,Secondary School,SSC,"New Central School, Srikakulam",
68,31,,,,,,
69,32,,,,,,
70,33,,,,,,
71,34,2006-01-01,2010-12-31,Computer Science,Bachelor of Engineering (B.E.),Dwarkadas J. Sanghvi College of Engineering,
72,35,2007-01-01,2010-12-31,Computer Science,M.S.,University of Chicago,
73,35,2000-01-01,2006-12-31,Economics,B.A.,Illinois Wesleyan University,
74,35,1999-01-01,2000-12-31,,,Illinois Central College,
75,36,,,,,South Hunsley,
76,37,2005-01-01,2010-12-31,Computer Science,Bachelor's Degree,Olabisi Onabanjo University(O.O.U),
77,38,2018-01-01,2022-12-31,Computer Science,Bachelor of Technology - BTech,Thapar Institute of Engineering and Technology,
78,39,2018-01-01,2018-12-31,Web development,FullStack developer,Le Wagon,"9-week intensive coding bootcamp learning HTML, CSS, Bootstrap, JavaScript ES2015, SQL, git, GitHub, Heroku and Ruby on Rails. Designed, Implemented and Shipped to production a clone of AirBnB and a Rails app."
79,39,2002-01-01,2003-12-31,Communications and multimedia,DESS,Université Panthéon Assas (Paris II),
80,39,1999-01-01,2001-12-31,Lettres Modernes Spécialisées,Maitrise,University of Bristol,Very inspiring year!
81,39,1998-01-01,2001-12-31,Lettres Modernes Spécialisées,Maitrise,Université Paris-Sorbonne,
82,40,2020-01-01,2021-12-31,Full Stack Software Development,"Diploma in Software Development, NFQ Level 6, EQF Level 5",Code Institute,
83,41,2017-01-01,2020-12-31,First Class Distinction,Bachelor of Engineering - BE,Vishwakarma Institute of Information Technology,"Majored in following subjects :* Principles Of Programming Languages* Data Structures & Algorithms* Database Management System* Systems Programming & Operating System* Theory Of Computation* Computer Networks & Security* Information & Cyber Security* Software Engineering* Web Technologies* Artificial Intelligence & Robotics* Machine Learning* Human Computer Interface* High Performance Computing* Data Analytics , Mining & Warehousing* Soft Computing & Optimization AlgorithmsThis course enhanced my problem-solving skill. Have designed, developed and analyzed software and hardware to solve problems in a variety of business, scientific and social contexts. Used different languages to write software , make computers do new things and accomplish tasks more efficiently. Created applications for mobile devices, develop websites and program software."
