,profile_id,description,issued_on,issuer,title
0,0,,,,
1,1,Stood among the top 20 finalist for an in-house coding hackathon hosted by Nomura.,2018-08-01,"Nomura, KakushIN",Finalist
2,2,,,,
3,3,Certificate of Excellence for exceptional performance in development of a Multi-tenant Membership Benefits platform as a part of tribe GCE (Global customer engagement) for the year 2020,2020-12-01,"CEO, Tavisca",Certificate of Excellence
4,3,Recognition for primary ownership of critical production data cleaning according to business constraints for 7+ clients maintaining consistency across 40+ database tables,2020-09-01,Tavisca,Shoutout Award
5,3,Recognition for primary ownership of Member Search feature supporting performance of half-text search within 60milliseconds.,2020-07-01,Tavisca,Shoutout Award
6,3,Recognition for on-time delivery of a Common library integrated with 150+ APIs across 25+ microservices supporting 15+ clients on the platform,2020-03-01,Tavisca,Shoutout Award
7,3,Received Second Prize for building a Student Attendance Management System with Biometric Attendance feature within 24 hours,2018-03-01,"Fr. Conceicao Rodrigues College of Engineering, Bandra West.",Second Prize in UNSCRIPT 2018 State Level Hackathon
8,4,,,,
9,5,,,,
10,6,,,,
11,7,,,,
12,8,,,,
13,9,,,,
14,10,,,,
15,11,,,,
16,12,,,,
17,13,,,,
18,14,Secured the first rank in Department of Applied Mathematics at Delhi Technological University (Formerly DCE) with an aggregate of 9.46/10.00 consolidated grade point average. The aggregate is the grade point average of all 8 semesters of the undergraduate degree.,2020-07-01,Delhi Technological University,Department Rank 1
19,14,Graduate Dean’s Entrance Scholarships (GDES) are competitive scholarships based on merit and offered to incoming full-time thesis-based master’s and doctoral students at UBC’s Okanagan campus. Eligible students must have an admission GPA of first-class standing or other exceptional qualifications. (The award was not availed),2020-02-01,University of British Columbia,Graduate Dean’s Entrance Scholarship
20,14,"Scholarship for pursuing a 3.5 month challenge foundational course in Intro to Deep Learning using PyTorch leading to a scholarship seat in the Nano-degree in Deep Learning by Udacity. The final scholarship was awarded on the basis of• Satisfactory performance in the foundation course• Active participation in community slack channelI completed ""60 days of Udacity"" challenge by coding for 30 mins/day for 60 consecutive days (AI Mentions Wall: https://sites.google.com/udacity.com/bertelsmann-challenge/ai-track/ai-honorable-mentions-wall)",2019-11-01,Udacity,Udacity Technology Scholarship powered by Bertelsmann
21,14,"Scholarship offered by Mitacs (Non-profit Canadian organization) for research internship in Canada. The summer project was supervised by Professor Warren Hare at the University of British Columbia - Okanagan, Kelowna, Canada.",2019-01-01,Mitacs,Mitacs Globalink Research Scholar
22,15,,,,
23,16,,,,
24,17,,,,
25,18,,2021-06-01,Dr. Babasaheb Ambedkar Technological University Lonere,Rank #1 in Electronics and Telecommunications Department (Dr.Babasaheb Ambedkar Technological University Lonere) with SGPA (6th sem) as 9.92 and CGPA as 9.0
26,18,My team Bitlord secured first position in hardware edition of Internal Smart India Hackathon. Our problem statement was set by Gov.of.Sikkim and problem statement was to develop face detection attendance system for school classroom. We completed our project from scratch in 2 days duration of hackathon.,2020-02-01,Dr.Babasaheb Ambedkar Technological University Lonere,Winner  in Hardware Edition of Internal Smart India Hackathon 2020
27,18,,2019-02-01,"Nation Service Scheme, Sant Gadge Baba Amravati University Amravati",Appreciation Certificate
28,19,,,,
