,profile_id,name,number
0,0,,
1,1,Android Studio Development,-
2,1,Adobe Illustrator,-
3,1,Adobe Photoshop,-
4,1,HTML & CSS,-
5,2,,
6,3,,
7,4,,
8,5,,
9,6,,
10,7,,
11,8,,
12,9,,
13,10,,
14,11,,
15,12,,
16,13,,
17,14,Abstract Algebra,MC - 315
18,14,Computer Graphics,-
19,14,Differential Equations,MC-207
20,14,Differential Geometry,Diploma Course
21,14,Fuzzy Set and Fuzzy Logic,MC - 432
22,14,Linear Algebra,MC-208
23,14,Mathematical Modeling and Simulation,MC - 409
24,14,Matrix Computation,MC - 404
25,14,Partial Differential Equations,MC - 406
26,14,Scientific Computing,-
27,14,Multi-variable Calculus,MIT 18.02
28,15,,
29,16,Accounts & Management,-
30,16,Affiliate Marketing,-
31,16,Digital Marketing,-
32,16,Digital Transformation,-
33,16,Entrepreneurship Skills Development,-
34,16,Meditation,-
35,16,Operational Management,-
36,16,Artificial Intelligence,-
37,16,BigData Analitycs,-
38,16,Block Chain,-
39,16,Critical Thinking,-
40,16,Product Design & Development,-
41,16,Assembly Programming,-
42,16,Computer Vision,-
43,16,Embedded System,ES1203
44,16,Matlab Intermediate Course,MAT1203
45,16,Robotics - Intermediate Level,RB1203
46,16,C# Programming,-
47,16,Digital Signal Processing,-
48,16,Embedded Communication Protocols,-
49,16,Firmware Programming,-
50,16,PCB Designing,-
51,16,Sixth Sense Technology,-
52,16,Communicating with Confidence,-
53,16,Event Management,-
54,16,Drone Development,-
55,16,Ethical Hacking and Network Security,-
56,16,Hardware & Networking,-
57,16,Linux Administrations,-
58,16,Simulink Designing,-
59,16,VLSI Designs & VHDL and Verilog Programming,-
60,16,Web Development,-
61,16,3D Printing,-
62,16,AR(Augmented Reality) VR(Virtual Reality) and MR(Mixed Reality),-
63,16,Artificial Neural Network Designing,-
64,16,Bash Programming,-
65,16,Cloud Computing,-
66,16,Creative Design & Thinking,-
67,16,Data Analytics,-
68,16,Deep Learning Frameworks,-
69,16,Humanoid Development,-
70,16,IoT Communication Protocols,-
71,16,IoT Hacking and Security,-
72,16,Machine Learning Algorithms,-
73,16,Mobile Apps Development,-
74,16,PLC & SCADA,-
75,16,Project Management,-
76,16,Python Programming,-
77,16,Various Sensing Technologies,-
78,16,WebApps Development,-
79,17,,
80,18,Applied Data Science,-
81,18,Pyrhon Programming,-
82,18,Managing Talent,-
83,19,Programming with Python,-
84,20,,
85,21,,
86,22,,
87,23,,
88,24,Android Development,IS 693R
89,24,Enterprise Application Devel,I SYS 413
90,24,Enterprise Infrastructure,I SYS 531
91,24,Mobile Development Internship,IS 599R
92,24,Mobile Platform Development,I SYS 543
93,24,Project Management,I SYS 562
94,24,Systems Analysis & Design,I SYS 401
95,24,Web Development,I SYS 542
96,25,,
97,26,,
98,27,,
99,28,,
100,29,Blockchain,-
101,29,HTML,-
102,29,Java Script,-
103,29,ML,-
104,29,Mongo DB,-
105,29,Node Js,-
106,29,c++,-
107,30,,
108,31,,
109,32,,
110,33,,
111,34,,
112,35,,
113,36,,
114,37,Google Africa Challenge Scholarship: Mobile Web,-
115,37,Assembling SASS preprocessor at codeschool,-
116,37,Code a Responsive Website with Twitter Bootstrap 3,-
117,37,HTML5 + CSS3 Responsive Web Design,-
118,37,Javascript Roadtrip,-
119,37,LESS preprocessor is more,-
120,37,Lynda.com Bootsrap 3 - Advanced Web Development,-
121,37,Master Mobile Web Apps with jQuery,-
122,37,Pro Workflow for Web designers,-
123,37,Wordpress Essential Training,-
124,38,Algorithms,-
125,38,Computer Networks,-
126,38,Cyber forensics,-
127,38,Cyber security,-
128,38,DBMS,-
129,38,Data structures,-
130,38,Machine learning,-
131,38,Object oriented programming C++,-
132,38,Operating systems,-
133,38,Secure coding,-
134,39,,
135,40,,
136,41,,
137,42,Big data specialisation (Coursera),-
138,42,Data structure and algorithm( Udemy),-
139,42,Machine Learning A to Z (Udemy),-
140,42,Object oriented programming in Java,-
141,42,Python for everybody (Coursera),-
142,43,,
143,44,,
144,45,,
145,46,C/C++ Programming,-
146,46,Computer Network,-
147,46,Data Base Management System,-
148,46,Data Structures and Algorithms,-
149,46,Image Processing,-
150,46,Javascript,-
151,46,Machine Learning,-
152,46,Modern React with Redux,-
153,46,Object Oriented Programming,-
154,46,Operating System,-
155,46,Software Engineering,-
156,47,,
157,48,,
158,49,,
159,50,,
160,51,,
161,52,CNNs Visual Recognition,CS231n
162,52,NLP with Deep Learning,CS224n
163,52,Data Structures,-
164,52,Web Development,-
165,53,,
166,54,Artificial Intelligence,-
167,54,Data Base Management Systems,-
168,54,Engineering Economics,-
169,54,Financial and Organizational Management,-
170,54,Internet and Web Engineering,-
171,54,Object Oriented Technology,-
172,54,Pattern Recognition,-
173,54,Soft Computing,-
174,54,Software Engineering,-
175,55,,
176,56,,
177,57,,
178,58,,
179,59,,
180,60,,
181,61,NIELIT : 8051 Microcontoller,-
182,62,Algorithms - by Stanford University on Coursera,-
183,62,Data Structures and Algorithms,-
184,62,Numerical Engineering and Optimization Methods,MC261
185,62,Python for Beginners (by Mosh),-
186,62,Technical Communication,FEC46
187,62,Google Analytics | Google Academy,-
188,62,The Complete Digital Marketing Course (certified by Udemy),UC-OTI0I5GF
189,63,Computer Science Engineering,-
190,64,Big Data - HDP Overview: Apache Hadoop Essentials training,-
191,65,,
192,66,,
193,67,Adwords Fundamentals Certification Course,Completion ID: 17432439
194,67,Customer Centric Marketing for Entrepreneurs,MKT01x
195,68,,
196,69,,
197,70,,
198,71,,
199,72,,
200,73,,
201,74,,
202,75,,
203,76,Advanced Computer Architecture,ECE 466
204,76,Advanced Computer Communication Networks,ECE 533
205,76,Computer Algorithms I,CS 401
206,76,Computer Communication Networks,ECE 436
207,76,Computer System Design,ECE 469
208,76,Cyber Physical System- Safety,ECE 594
209,76,Digital Signal Processing II,ECE 417
210,76,Elements of Information Theory,ECE 534
211,76,Image Analysis & Compt Visn,ECE 415
212,76,Nanoscale Semiconductor Structures: Electronic and Optical Properties,ECE 572
213,76,Bio-Statistics,-
214,76,Digital Signal Processing for Biomedical Systems,-
215,76,Electrical Circuits and Design I,-
216,76,Electrical Circuits and Design II,-
217,76,Logic Circuits,-
218,76,Principles of image Processing,-
219,76,Robotics,-
220,76,VLSI,-
221,77,,
222,78,,
223,79,AWS Training By the Expert of AWS Cloud,-
224,79,MongoDB for Java Developers from MongoDB University,-
225,79,RedHat Openstack Technical Overview,CL010
226,80,AP Calculus BC,
227,80,AP Computer Science,
228,80,AP English Literature,
