,text
0, Software Developer at WebEngage 2 years of experience in Java J2EE and associated Technology Spring Hibernate Rest Web Services Micro services Spring Boot Strong Problem Solving Skills with good hold on Data Structure and Algorithms . Won Smart India National Level Hackathon 2019 as a team Leader for Ministry of External Affairs GOI .
1, Software Developer  Nomura Software Developer at Nomura . My interests lie in technology creative design and areas that demand both I constantly strive to channelize these aspects in ways that they complement each other . Worked for MUNSOC Model United Nations Society as a full time creative executive working on creative projects for the society's benefit .
2, Software Engineer at CODE B Full Stack Developer . A prolific self taught Full Stack Engineer – specialized in building exceptional Mobile and Web Apps that provides pixel perfect and logical user interfaces . Software Engineer  CODE B Mechanical Engineering Bachelor of Engineering BE    BE BE  BA Mechanical Engineering .
3, Application Developer at Thoughtworks Full Stack Developer  Tavisca a cxLoyalty Technology Platform Division of JP Morgan Chase Co . Experienced Full Stack Software Engineer with a demonstrated history of designing developing and delivering quality software features . Strong expertise in developing distributed systems using Microservices and Messaging on Cloud .
4, Software Developer at Breathbit has a demonstrated history of working in the non profit organization management industry . Skilled in Python Programming Language Microsoft Word C Public Speaking and Java . Strong education professional with a BTech Bachelor of Technology focused in Information Technology from JAIN UNIVERSITY BANGALORE .
5, Software Engineer at VHS Logitech Full Stack Developer I m an individual with a curious mind and quick learning skills . I ve proven my worth in many of my projects and competition I ve participated in I ve good observation skill and learn from my mistakes very quickly . I m polite and humble with the people I deal with and take responsibility of my sins .
6, A flexible and fast learner who is ready to learn new concepts and technology Key skills Java Spring Boot Data Structures and Algorithms C git SQL Angular 8 Assoc gs and heritages Indian Institute of Remote Sensing IIRS Indian Space Research Organization ISRO .
7, SDE at Money View Developer  SDE  Money View Senior Software Engineer  NIIT Technologies Software Engineer . Worked as full stack developer for British Airways . Backend development intern in making REST micro services Qorql Computer Engineering Bachelor of Engineering . SDE is a senior software engineer at NIIT Technologies .
8, Full Stack Engineer at WNS Global Services Full Stack Developer with a demonstrated history of working in the computer software industry . Skilled in MySQL PHP PHP Ionic Framework angular js and Node Js javascript and Apache Cordova . Strong engineering professional with an Engineer’s Degree focused in computer science and engineering from Guru Ghasidas University .
9, Senior Software Engineer at Accelya Group has 9 years of Experience in Developing Websites and Web Applications using HTML5 CSS3 JavaScript and HTML5 . Expertise in Angular 7 8 9 10 11 to Create Simple and Scalable Code for SPA . Hands on experience on React and Vue Js .
10, Web Application Developer at freelance Python Django Developer I have more than 5 years of experience in web development I got knowledge and experience in website development using Python Django Django PHP Laravel WordPress also an Expert in SEO On page SEO Technical SEO . Currently work on FullTime Freelancing Web Application Development  freelance Software Developer  IBDTD Computer Science Master s degree .
11," Software Engineer at Amdocs India DTU 19  Software Engineer  Amdocs Software Engineering Bachelor of Technology .    Amdoc Software Engineering at Amdoc India DTu 19 Software Engineer . Amdoc is a software engineer for Amdoc, a partner with Amdoc.com ."
12, Associate Product Manager at Collegedunia Data Product Business Analysis Product Manager with a Bachelor of Technology B Tech from Delhi College of Engineering . Developed business reporting and data warehousing solutions for a US based pharmaceutical firm . Used SAS Programming Qlik Sense SQL and MS Excel ZS .
13, Consultant Producer at StudioLIV . Skilled in Final Cut Pro DaVinci Resolve After Effects . Strong consulting professional with integrity and efficiency as his strong suit . Produced videos for mammoth corporate houses like RPG Bombay Shirt Company x JSW RPG x DDB Mudra Piramal Oberoi .
14, I have completed my undergraduate studies in Mathematics and Computing Engineering with rank 1 in the Department of Applied Mathematics at Delhi Technological University New Delhi India . A series of serendipitous events as I would like to call them these years have been the most enlightening and empowering both as a student and a person atics Doctor of Philosophy .
15, Software Engineer at Tata Consultancy Services Software Engineer  Software Engineer . Trainee    at Tata Consultancy services . Software Engineer is an Electronics and Communications Engineering Bachelor of Technology   Electronics HSC   SSC .  Trainee at  ENSAVE DEVICES PRIVICE PRIVATE LIMITED Electronics and Communication Engineering .
16, Chief Executive Officer at Learn and Build LnB Founder CEO at TechieNest Speaker Researcher Researcher Educator Educator My Every Single Breath is for my passion with Entrepreneurship to solve one of the biggest unstructured learning problem in the world . Built an EdTech Research platform LnBCore EdTech Online Technologies EcoSystem MOLI Mobile Link Device for Cooler Industry Machine Learning Program for Recognising Traffic Signs in Germany .
17, Israeli Military Intelligence Private Teacher Private teacher for high school computer science students . Self employed Computer Science Bachelor of Science BS BS  Computer Science Practical Software Engineer . Full Stack Developer at Axonius Full Stack Team Leader Full stack team leader . Private Teacher private teacher for students .
18, Co Founder at TechEdu Data Analyst Final Year Student Dr Babasaheb Ambedkar Technological University Lonere . He is a pre Final year student of Electronics and Telecommunication Engineering and a Data Science and Machine Learning Enthusiast exploring new skills and implementing them practically is my current passion .
19, Student at Roorkee Institute of Technlogy Electronics and Communications Engineering . RIT Rooree  Student    Student at  Roorgee Institute of Technology . Students at the institute are students at the university in the state of India . They are students of the institute's Electronics and Communication Engineering program .
20, Associate Software Engineer at Bosch Engineering and Business Solutions . A really quick learner and highly organized to get the best efficiency over a long term . IEEE SB NIT Calicut is IEEE Senior Executive  Club Mathematica Trainee Worke maximum power point tracking of PV Array .
21, Data Analytics Consultant at KPMG MBA Business Analytics And Marketing Computer Science And Engineering . I have pursued my Bachelor of engineering focused in Computer Science Engineering also have one year of work experience as an Associate Software Engineer . Currently pursuing my Masters in Business Administration with major specialisations in Business Analytics and Marketing .
22, Mohammed V University Rabat Morocco has a bachlore in Computer science in 2020 . Data scientist intern chez Beewant M2 student intellegent processing systems master student in at intelligent processing systems . Drone’s Technology DT Rabat  science mathematique et inforamatique licence fondamentale .
